Brand,CRT Model,Size/Type,CNC System,LCD Replacement,Resolution,Status,URL
"Siemens","6FC3997-7FA20","14" Color CRT","SINUMERIK 840C","Kongto 12.1" TFT-LCD","1024x768","Available","/en/quote.html"
"Mazak","DR5614","14" Color CRT","Mazatrol T-32/T-PLUS","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/mazak-dr5614-lcd-upgrade.html"
"Mazak","C-5470NS","14" Color CRT","Mazatrol M-32/M-PLUS","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/mazak-c5470ns-lcd-upgrade.html"
"Mazak","AIQA8DSP40","14" Color CRT","Mazatrol T-32/640","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/mazak-aiqa8dsp40-lcd-upgrade.html"
"Mazak","CD1472-D1M","14" Color CRT","Mazatrol T-Plus/M-Plus/Fusion 640","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/mazak-cd1472-lcd-upgrade.html"
"Mazak","MDT-1283B-1A","12" Monochrome CRT","Mazatrol T-2/T-3/M-2","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/mazak-mdt1283b-lcd-upgrade.html"
"Mazak","TR-120S9C","9" Color CRT","Mazatrol T-32/M-32 (Matsushita)","Kongto 8" TFT-LCD","800x600","Available","/en/brands/Matsushita.html"
"Okuma","OSP 5000 CRT","12" Monochrome CRT","OSP 5000","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/okuma-osp-crt-lcd-upgrade.html"
"Okuma","OSP 5020 CRT","12" Monochrome CRT","OSP 5020","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/okuma-osp-crt-lcd-upgrade.html"
"Okuma","OSP 7000 CRT","12" Monochrome CRT","OSP 7000","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/okuma-osp-crt-lcd-upgrade.html"
"Haas","VF Series 9" CRT","12" Monochrome CRT","Haas Classic Control","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/haas-28hm-nm4-lcd-upgrade.html"
"Haas","VF Series 12" CRT","12" Monochrome CRT","Haas Classic Control","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/haas-28hm-nm4-lcd-upgrade.html"
"Haas","SL Series CRT","12" Monochrome CRT","Haas NGC","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/haas-28hm-nm4-lcd-upgrade.html"
"Haas","ST Series CRT","12" Monochrome CRT","Haas NGC","Kongto 10.4" TFT-LCD","800x600","Available","/en/products/haas-28hm-nm4-lcd-upgrade.html"
"Heidenhain","BE211","9" Color CRT","TNC 310/320","Kongto 8" TFT-LCD","800x600","Available","/en/brands/Heidenhain.html"
"Heidenhain","BE411","9" Color CRT","TNC 410/415","Kongto 8" TFT-LCD","800x600","Available","/en/brands/Heidenhain.html"
"Heidenhain","BE510","9" Color CRT","TNC 425/430","Kongto 8" TFT-LCD","800x600","Available","/en/brands/Heidenhain.html"
